Setting Key,Context,Http Method,Http URL,Parameter description,Setting description
AllDiscountSettings,Entity,GET,/settings/discount-settings,,List of all Discount settings
AllDiscountSettings,Entity,POST,/settings/discount-settings,,List of all Discount settings
DiscountSettings,Entity,GET,/settings/discount-settings/{id},id = Unique Id of the Discount setting,Setting for Discounts
DiscountSettings,Entity,PUT,/settings/discount-settings/{id},id = Unique Id of the Discount setting,Setting for Discounts
DiscountSettings,Entity,DELETE,/settings/discount-settings/{id},id = Unique Id of the Discount setting,Setting for Discounts
DocPrefix,Entity,GET,/settings/doc-prefixes,,Settings for Document Prefix
DocPrefix,Entity,PUT,/settings/doc-prefixes,,Settings for Document Prefix
DocumentFilenamePatterns,Entity,GET,/settings/document-filename-patterns,,Setting for document filename patterns
DocumentFilenamePatterns,Entity,PUT,/settings/document-filename-patterns,,Setting for document filename patterns
DocumentGenerationSetting,Entity,PUT,/settings/document-generation-setting,,Setting to enable/disable OOTB document generation
DocumentGenerationSetting,Entity,GET,/settings/document-generation-setting,,Setting to enable/disable OOTB document generation
EmailTemplate,Entity,GET,/settings/email-templates,,List of all Email Templates
EmailTemplate,Entity,POST,/settings/email-templates,,Create Email Templates
AllEntityNodes,Tenant,GET,/settings/entity-nodes,,Setting for all Entity Nodes
AllEntityNodes,Tenant,POST,/settings/entity-nodes,,Setting for all Entity Nodes
EntityNode,Tenant,GET,/settings/entity-nodes/{entityId},entityId = Unique Id of the Entity to which the setting belongs,Setting for an Entity Node
EntityNode,Tenant,PUT,/settings/entity-nodes/{entityId},entityId = Unique Id of the Entity to which the setting belongs,Setting for an Entity Node
EntityNode,Tenant,DELETE,/settings/entity-nodes/{entityId},entityId = Unique Id of the Entity to which the setting belongs,Setting for an Entity Node
EntityProfileAttachment,Entity,GET,/settings/entity-profile-attachments,,Setting for Getting Attachment Limits for Tenant/Entity
EntityProfileChangeHistory,Entity,GET,/settings/entity-profile-change-history,,Setting for Getting change history for Tenant/Entity Profile
EntityProfileInfo,Entity,GET,/settings/entity-profile-info,,Setting for Tenant/Entity Profile
EntityProfileInfo,Entity,PUT,/settings/entity-profile-info,,Setting for Tenant/Entity Profile
ExternalSmtp,Entity,GET,/settings/external-smtp,,Setting for an External SMTP
ExternalSmtp,Entity,PUT,/settings/external-smtp,,Setting for an External SMTP
AllFinanceSegmentationRules,Entity,GET,/settings/finance-segmentation-rules,,List or create Finance Segmentation Rule
AllFinanceSegmentationRules,Entity,POST,/settings/finance-segmentation-rules,,List or create Finance Segmentation Rule
FinanceSegmentationRule,Entity,GET,/settings/finance-segmentation-rules/{id},id = Unique Id of the segmentation rule,Finance segmentation rule
FinanceSegmentationRule,Entity,PUT,/settings/finance-segmentation-rules/{id},id = Unique Id of the segmentation rule,Finance segmentation rule
FinanceSegmentationRule,Entity,DELETE,/settings/finance-segmentation-rules/{id},id = Unique Id of the segmentation rule,Finance segmentation rule
StandaloneOrders,Tenant,GET,/settings/finance/standalone-orders,,Setting API to configure rev rec rules and accounting codes for FNR Standalone Order setting
StandaloneOrders,Tenant,PUT,/settings/finance/standalone-orders,,Setting API to configure rev rec rules and accounting codes for FNR Standalone Order setting
FxCurrency,Entity,GET,/settings/fx-currencies,,Setting for an FX Currency
FxCurrency,Entity,PUT,/settings/fx-currencies,,Setting for an FX Currency
GLSegments,Entity,GET,/settings/gl-segments,,Setting for GL Segments
GLSegments,Entity,PUT,/settings/gl-segments,,Setting for GL Segments
AllHostedPaymentMethodPages,Tenant,GET,/settings/hosted-payment-method-pages,,All Hosted Payment Method Pages
AllHostedPaymentMethodPages,Tenant,POST,/settings/hosted-payment-method-pages,,All Hosted Payment Method Pages
HostedPaymentMethodPage,Tenant,GET,/settings/hosted-payment-method-pages/{id},id = Unique Id of the Hosted Payment Method page,Hosted Payment Method Page
HostedPaymentMethodPage,Tenant,DELETE,/settings/hosted-payment-method-pages/{id},id = Unique Id of the Hosted Payment Method page,Hosted Payment Method Page
AllInboundEntityConnections,Entity,GET,/settings/inbound-entity-connections,,Settings for All Inbound Entity Connections
InboundEntityConnection,Entity,GET,/settings/inbound-entity-connections/{entityId},entityId = Unique Id of the Entity to which the setting belongs,Settings for an Inbound Entity Connection
InboundEntityConnection,Entity,PUT,/settings/inbound-entity-connections/{entityId},entityId = Unique Id of the Entity to which the setting belongs,Settings for an Inbound Entity Connection
InsightsConnection,Entity,GET,/settings/insights-connections,,Setting for Insights Connection
InsightsConnection,Entity,PUT,/settings/insights-connections,,Setting for Insights Connection
AllInvoiceTemplates,Tenant,GET,/settings/invoice-templates,,Setting for all Invoice Templates
AllInvoiceTemplates,Tenant,POST,/settings/invoice-templates,,Setting for all Invoice Templates
InvoiceTemplate,Tenant,GET,/settings/invoice-templates/{id},id = Unique Id of the Invoice Template,Setting for Invoice Template
InvoiceTemplate,Tenant,PUT,/settings/invoice-templates/{id},id = Unique Id of the Invoice Template,Setting for Invoice Template
InvoiceTemplate,Tenant,DELETE,/settings/invoice-templates/{id},id = Unique Id of the Invoice Template,Setting for Invoice Template
NumberAndSku,Entity,GET,/settings/numbers-and-skus,,Setting for Number and SKU
NumberAndSku,Entity,PUT,/settings/numbers-and-skus,,Setting for Number and SKU
AllOutboundEntityConnections,Entity,GET,/settings/outbound-entity-connections,,Settings for All Outbound Entity Connections
AllOutboundEntityConnections,Entity,POST,/settings/outbound-entity-connections,,Settings for All Outbound Entity Connections
OutboundEntityConnection,Entity,GET,/settings/outbound-entity-connections/{entityId},entityId = Unique Id of the Entity to which the Setting belongs,Settings for an Outbound Entity Connection
AllPaymentGateways,Entity,GET,/settings/payment-gateways,,Manage Payment Gateways
AllPaymentGateways,Entity,POST,/settings/payment-gateways,,Manage Payment Gateways
PaymentGateway,Entity,GET,/settings/payment-gateways/{id},id = Unique Id of the Payment Gateway,Manage Payment Gateways
PaymentGateway,Entity,PUT,/settings/payment-gateways/{id},id = Unique Id of the Payment Gateway,Manage Payment Gateways
PaymentMethods,Entity,GET,/settings/payment-methods,,Setting for Payment Methods
PaymentMethods,Entity,PUT,/settings/payment-methods,,Setting for Payment Methods
PaymentRetryRules,Tenant,GET,/settings/payment-retry-rules,,Setting for managing Payment Retry Rules
